name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	FALSE	145	1	0	0	1	139.434	-55.379	-0.432
rescue_2872	TRUE	19	0	0	0	1	141.316	-122.158	-0.009
rescue_2873	FALSE	63344	0.998	0.08	0.346	0.574	120.953	915.338	-0.498
rescue_2873	TRUE	266	0.365	0	0.335	0.665	106.774	230.624	-0.027
rescue_2874	FALSE	121	0.917	0	0	1	131.653	-35.314	-0.284
rescue_2874	TRUE	324	0.059	0	0.019	0.981	141.91	-24.238	-0.005
rescue_2875	FALSE	88	1	0	0	1	143.125	-58.239	-0.343
rescue_2875	TRUE	120	0	0	0	1	142.583	-13.675	-0.002
rescue_2876	FALSE	49	1	0	0	1	126.531	-25.061	-0.296
rescue_2876	TRUE	59	0.136	0	0.169	0.831	135.102	-42.678	-0.008
rescue_2877	FALSE	7	0.571	0	0	1	134.143	-124.143	-0.334
rescue_2877	TRUE	140	0	0	0	1	138.229	20.921	-0.004
rescue_2878	FALSE	39	0.949	0	0	1	126.821	-40.897	-0.344
rescue_2878	TRUE	55	0	0	0	1	146.273	-43.891	-0.003
rescue_2879	FALSE	1604	0.996	0	0.026	0.974	123.299	-55.183	-0.438
rescue_2879	TRUE	670	0.006	0	0.006	0.994	127.782	-37.884	-0.003
rescue_2880	FALSE	135	0.956	0	0.03	0.97	132.178	-16.978	-0.281
rescue_2880	TRUE	158	0.158	0	0.114	0.886	134.589	-0.563	-0.011
rescue_2881	FALSE	132	0.955	0	0.015	0.985	134.22	-57.174	-0.274
rescue_2881	TRUE	203	0.133	0	0.089	0.911	132.956	-46.36	-0.01
rescue_2882	FALSE	155	1	0	0	1	139.871	-26.516	-0.375
rescue_2882	TRUE	53	0	0	0	1	146.755	-96.321	-0.001
rescue_2883	FALSE	184	0.522	0.424	0	0.576	69.435	-66.152	-0.524
rescue_2883	TRUE	42	0	0	0	1	137.786	5	-0.001
rescue_2884	FALSE	172	0.977	0.07	0.488	0.442	74.552	-51.93	-0.447
rescue_2884	TRUE	22	0.455	0	0.455	0.545	95.682	38.455	0
rescue_2885	FALSE	54	1	0	0	1	142.87	-39.87	-0.364
rescue_2885	TRUE	40	0	0	0	1	134.95	-46.675	-0.002
rescue_3810	FALSE	1946	0.972	0.281	0.33	0.39	56.593	-20.811	-0.372
rescue_3810	TRUE	154	0.091	0	0.091	0.909	124.487	82.922	-0.016
rescue_3811	FALSE	137	0.964	0	0.015	0.985	136.088	-45.248	-0.282
rescue_3811	TRUE	201	0.085	0	0.08	0.92	136.289	-66.224	-0.006
