name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	TRUE	14	0	0	0	1	149.786	-67.143	-0.001
rescue_2873	FALSE	44	1	0	0	1	126.409	362	-0.054
rescue_2873	TRUE	183	0.306	0	0.339	0.661	107.186	163.967	-0.027
rescue_2874	FALSE	4	1	0	0	1	149.75	-608.25	-0.043
rescue_2874	TRUE	442	0.027	0	0.036	0.964	137.824	-38.31	-0.003
rescue_2875	FALSE	6	1	0	0	1	130	-80	-0.089
rescue_2875	TRUE	216	0.009	0	0.028	0.972	134.481	-39.25	-0.003
rescue_2876	FALSE	14	1	0	0	1	133.286	-26.143	-0.056
rescue_2876	TRUE	107	0.131	0	0.206	0.794	138.766	18.327	-0.002
rescue_2877	TRUE	164	0	0	0	1	128.28	-10.378	-0.004
rescue_2878	FALSE	2	1	0	0	1	88	-88	-0.057
rescue_2878	TRUE	69	0	0	0	1	133.797	-65.217	-0.003
rescue_2879	TRUE	891	0.002	0	0.002	0.998	127.066	-39.15	-0.003
rescue_2880	TRUE	88	0.045	0	0.068	0.932	139.25	22.989	-0.004
rescue_2881	TRUE	113	0.035	0	0.053	0.947	134.513	-34.867	-0.004
rescue_2882	FALSE	2	1	0	0	1	57	-57	-0.088
rescue_2882	TRUE	40	0	0	0.05	0.95	131.475	-119.375	-0.005
rescue_2883	TRUE	32	0	0	0	1	141.188	59.594	-0.001
rescue_2884	TRUE	21	0.286	0	0.286	0.714	103.429	11.19	-0.011
rescue_2885	FALSE	2	1	0	0	1	61	-61	-0.082
rescue_2885	TRUE	40	0	0	0	1	134.25	28.025	-0.004
rescue_3810	TRUE	15	0.533	0	0.533	0.467	98.533	7.467	-0.053
rescue_3811	TRUE	27	0.074	0	0.222	0.778	131.556	-84.778	-0.001
